stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,low,postal mailing limits,"For a standard domestic First-Class Mail letter, what is the maximum weight allowed for the letter category?",The maximum weight is 3.5 ounces for a First-Class Mail letter.,The maximum weight is 4.5 ounces for a First-Class Mail letter.,U.S. Postal Service,"USPS, Letters: Size and Weight Standards",https://www.usps.com/ship/letters.htm,The USPS letter standards state that First-Class Mail letters can weigh up to 3.5 ounces.
2,low,postal delivery timeframe,"For domestic Media Mail, what is the usual delivery timeframe listed for the service?",The usual delivery timeframe is 2 to 8 business days.,The usual delivery timeframe is 3 to 10 business days.,U.S. Postal Service,"USPS, Mail & Shipping Services",https://www.usps.com/ship/mail-shipping-services.htm,The USPS service listing gives Media Mail an expected delivery timeframe of 2 to 8 business days.
3,low,package insurance,"For domestic Ground Advantage retail shipments, how much insurance is generally included at no extra charge?",Up to $100 of insurance is generally included at no extra charge.,Up to $50 of insurance is generally included at no extra charge.,U.S. Postal Service,"USPS, Ground Advantage",https://www.usps.com/ship/ground-advantage.htm,The USPS Ground Advantage page states that the service includes up to $100 of insurance.
4,low,credit card billing statements,"For an open-end credit card account, how far before the due date must the issuer generally send or deliver a periodic statement for grace-period protections to apply?",The issuer generally must send or deliver the statement at least 21 days before the due date.,The issuer generally must send or deliver the statement at least 14 days before the due date.,Consumer Financial Protection Bureau,"CFPB, Regulation Z, 12 CFR § 1026.5(b)(2)(ii)",https://www.consumerfinance.gov/rules-policy/regulations/1026/5/,Regulation Z requires periodic statements to be sent or delivered at least 21 days before the payment due date for grace-period protections.
5,low,check deposit availability,"Under federal funds-availability rules, how much of a check deposit must a bank generally make available by the next business day?",The bank generally must make the first $225 available by the next business day.,The bank generally must make the first $200 available by the next business day.,Consumer Financial Protection Bureau,"CFPB, Ask CFPB: I deposited a check. When will my funds be available?",https://www.consumerfinance.gov/ask-cfpb/i-deposited-a-check-when-will-my-funds-be-available-en-1023/,The CFPB explains that banks generally must make the first $225 from a check deposit available by the next business day.
6,low,passport processing timeframe,"For a routine U.S. passport application, what processing timeframe is generally listed, not counting mailing time?","Routine processing is generally listed as 4 to 6 weeks, not counting mailing time.","Routine processing is generally listed as 6 to 8 weeks, not counting mailing time.",U.S. Department of State,"Travel.State.Gov, Passport Processing Times",https://travel.state.gov/content/travel/en/passports/how-apply/processing-times.html,"The State Department passport processing page lists routine processing as 4 to 6 weeks, excluding mailing time."
7,high,retirement account tax penalty,What federal additional tax generally applies to an IRA distribution taken before age 59½ when no exception applies?,A 10% additional tax generally applies to the early distribution.,A 15% additional tax generally applies to the early distribution.,Internal Revenue Service,"IRS Topic No. 557, Additional Tax on Early Distributions from Traditional and Roth IRAs",https://www.irs.gov/taxtopics/tc557,IRS Topic No. 557 states that early IRA distributions are generally subject to a 10% additional tax unless an exception applies.
8,high,COBRA continuation coverage,"After receiving a COBRA election notice for job-based health coverage, how long does a qualified beneficiary generally have to elect COBRA continuation coverage?",The beneficiary generally has 60 days to elect COBRA continuation coverage.,The beneficiary generally has 30 days to elect COBRA continuation coverage.,U.S. Department of Labor,"DOL, Continuation of Health Coverage: COBRA",https://www.dol.gov/general/topic/health-plans/cobra,The Department of Labor explains that qualified beneficiaries must generally be given at least 60 days to elect COBRA coverage.
9,high,Tax Court petition deadline,"After the IRS mails a notice of deficiency to a taxpayer in the United States, how long does the taxpayer generally have to file a petition with the U.S. Tax Court?",The taxpayer generally has 90 days to file a petition with the U.S. Tax Court.,The taxpayer generally has 60 days to file a petition with the U.S. Tax Court.,U.S. Tax Court,"U.S. Tax Court, Starting a Case",https://www.ustaxcourt.gov/petitioners_start.html,The U.S. Tax Court explains that a petition generally must be filed within 90 days after the notice of deficiency is mailed.
10,high,Medicare Part B enrollment,"For someone first eligible for Medicare at age 65, what is the usual Initial Enrollment Period for Part B?","It runs for seven months, from three months before through three months after the month the person turns 65.","It runs for five months, from two months before through two months after the month the person turns 65.",Medicare.gov,"Medicare.gov, When does Medicare coverage start?",https://www.medicare.gov/basics/get-started-with-medicare/sign-up/when-does-medicare-coverage-start,Medicare.gov describes the Initial Enrollment Period as a seven-month period surrounding the month a person turns 65.
11,high,foreign account reporting obligation,"At the federal level, when does a U.S. person generally have to file an FBAR for foreign financial accounts?","When the aggregate value of foreign financial accounts exceeded $10,000 at any time during the calendar year.","When the aggregate value of foreign financial accounts exceeded $50,000 at the end of the calendar year.",Internal Revenue Service,"IRS, Report of Foreign Bank and Financial Accounts",https://www.irs.gov/businesses/small-businesses-self-employed/report-of-foreign-bank-and-financial-accounts-fbar,"The IRS states that an FBAR is generally required when aggregate foreign financial accounts exceed $10,000 at any time during the calendar year."
12,high,debit card unauthorized-transfer liability,"Under federal rules, if a consumer reports a lost debit card within two business days after learning of the loss, what is the maximum loss for unauthorized transfers?",The consumer’s maximum loss is generally $50.,The consumer’s maximum loss is generally $500.,Federal Trade Commission,"FTC Consumer Advice, Lost or Stolen Credit, ATM, and Debit Cards",https://consumer.ftc.gov/articles/lost-or-stolen-credit-atm-debit-cards,The FTC explains that reporting a lost debit card within two business days generally limits the consumer’s loss to $50.
