stem_id,stakes,question_text,answer_text,att_level,correctness,attestation_text
1,high,"At the federal level, if an adult takes a nonqualified early distribution from a traditional IRA before age 59½, what additional tax generally applies to the taxable amount?",The additional tax is generally 10% of the taxable early distribution.,none,correct,
1,high,"At the federal level, if an adult takes a nonqualified early distribution from a traditional IRA before age 59½, what additional tax generally applies to the taxable amount?",The additional tax is generally 5% of the taxable early distribution.,none,incorrect,
1,high,"At the federal level, if an adult takes a nonqualified early distribution from a traditional IRA before age 59½, what additional tax generally applies to the taxable amount?",The additional tax is generally 10% of the taxable early distribution.,weak,correct,"Source: Internal Revenue Service — IRS Tax Topic No. 557, Additional Tax on Early Distributions From Traditional and Roth IRAs"
1,high,"At the federal level, if an adult takes a nonqualified early distribution from a traditional IRA before age 59½, what additional tax generally applies to the taxable amount?",The additional tax is generally 5% of the taxable early distribution.,weak,incorrect,"Source: Internal Revenue Service — IRS Tax Topic No. 557, Additional Tax on Early Distributions From Traditional and Roth IRAs"
1,high,"At the federal level, if an adult takes a nonqualified early distribution from a traditional IRA before age 59½, what additional tax generally applies to the taxable amount?",The additional tax is generally 10% of the taxable early distribution.,strong,correct,"Source: Internal Revenue Service — IRS Tax Topic No. 557, Additional Tax on Early Distributions From Traditional and Roth IRAs
Publisher verified (Internal Revenue Service)
Document unaltered since publication
Independently checked for relevance"
1,high,"At the federal level, if an adult takes a nonqualified early distribution from a traditional IRA before age 59½, what additional tax generally applies to the taxable amount?",The additional tax is generally 5% of the taxable early distribution.,strong,incorrect,"Source: Internal Revenue Service — IRS Tax Topic No. 557, Additional Tax on Early Distributions From Traditional and Roth IRAs
Publisher verified (Internal Revenue Service)
Document unaltered since publication
Independently checked for relevance"
2,high,"In general, how long can cooked leftovers be kept in a refrigerator at 40°F or below before they should be eaten, frozen, or discarded?",Cooked leftovers can generally be refrigerated for 3 to 4 days.,none,correct,
2,high,"In general, how long can cooked leftovers be kept in a refrigerator at 40°F or below before they should be eaten, frozen, or discarded?",Cooked leftovers can generally be refrigerated for 5 to 6 days.,none,incorrect,
2,high,"In general, how long can cooked leftovers be kept in a refrigerator at 40°F or below before they should be eaten, frozen, or discarded?",Cooked leftovers can generally be refrigerated for 3 to 4 days.,weak,correct,"Source: U.S. Department of Agriculture Food Safety and Inspection Service — USDA FSIS, Leftovers and Food Safety"
2,high,"In general, how long can cooked leftovers be kept in a refrigerator at 40°F or below before they should be eaten, frozen, or discarded?",Cooked leftovers can generally be refrigerated for 5 to 6 days.,weak,incorrect,"Source: U.S. Department of Agriculture Food Safety and Inspection Service — USDA FSIS, Leftovers and Food Safety"
