stem_id,stakes,category,consequence_type,fact_structure,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,high,Financial penalty/loss,tax_penalty,percentage_amount,Early retirement-plan distributions,"At the federal level, what additional tax generally applies to an early distribution from a qualified retirement plan taken before age 59½ if no exception applies?",It is generally subject to a 10% additional tax.,It is generally subject to a 20% additional tax.,Internal Revenue Service,"IRS Topic No. 558, Additional Tax on Early Distributions From Retirement Plans Other Than IRAs",https://www.irs.gov/taxtopics/tc558,The IRS states that early distributions from qualified retirement plans generally are subject to a 10% additional tax unless an exception applies.
2,high,Benefit/coverage forfeiture,lost_health_coverage_option,election_deadline,COBRA continuation coverage,"For a person who is eligible to elect federal COBRA continuation coverage, how long must the election period generally last?",The election period must generally last at least 60 days.,The election period must generally last at least 45 days.,U.S. Department of Labor,"Employee Benefits Security Administration, FAQs on COBRA Continuation Health Coverage for Workers",https://www.dol.gov/agencies/ebsa/about-ebsa/our-activities/resource-center/faqs/cobra-continuation-health-coverage,Federal COBRA guidance states that qualified beneficiaries must be given an election period of at least 60 days.
3,high,Legal-right or claim forfeiture,claim_forfeiture,limitations_period,Federal Tort Claims Act administrative claims,"At the federal level, how long does a person generally have to present an administrative tort claim against the United States after the claim accrues?",The claim generally must be presented within 2 years.,The claim generally must be presented within 3 years.,U.S. Code,28 U.S.C. § 2401(b),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section2401&num=0&edition=prelim,The statute provides that a tort claim against the United States is barred unless it is presented in writing to the appropriate federal agency within two years after it accrues.
4,high,Consumer-protection deadlines,lost_billing_dispute_protection,written_notice_deadline,Credit card billing error disputes,"For a credit card billing error dispute covered by federal law, how soon must the cardholder send a written dispute after the first statement with the error was sent?",The written dispute must be sent within 60 days.,The written dispute must be sent within 90 days.,Federal Trade Commission,"FTC, Disputing Credit Card Charges",https://consumer.ftc.gov/articles/disputing-credit-card-charges,FTC guidance on the Fair Credit Billing Act states that the written notice must reach the creditor within 60 days after the first bill containing the error was sent.
5,high,Cybersecurity,identity_theft_protection_right,right_entitlement,Credit freezes,"At the federal level, is placing and lifting a security freeze on a credit report free?",Yes. Federal law lets a person place and lift a credit freeze for free.,"No. Federal law lets a person place a credit freeze for free, but not lift it for free.",Federal Trade Commission,"FTC, What To Know About Credit Freezes and Fraud Alerts",https://consumer.ftc.gov/articles/what-know-about-credit-freezes-and-fraud-alerts,"FTC guidance states that free credit freezes and free fraud alerts are available, and that placing or lifting a credit freeze is free."
6,high,Food safety,foodborne_illness_risk,safe_storage_time,Refrigerated leftovers,"In general, how long can cooked leftovers be kept safely in the refrigerator?",They can generally be kept safely for 3 to 4 days.,They can generally be kept safely for 6 to 7 days.,U.S. Department of Agriculture Food Safety and Inspection Service,"USDA FSIS, Leftovers and Food Safety",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/leftovers-and-food-safety,USDA FSIS states that leftovers can be kept in the refrigerator for 3 to 4 days.
7,low,Consumer/retail facts,small_refund_loss,return_window,General online retail returns,"Under Amazon.com's general U.S. returns policy, within how many days of receipt can most items generally be returned?",Most items can generally be returned within 30 days of receipt.,Most items can generally be returned within 45 days of receipt.,Amazon,"Amazon Customer Service, About Our Returns Policies",https://www.amazon.com/gp/help/customer/display.html?nodeId=GKM69DUUYKQWKWX7,"Amazon's general returns policy states that most items purchased from Amazon.com can be returned within 30 days of receipt, subject to exceptions."
8,low,Everyday financial-convenience facts,minor_funds_delay,availability_amount,Check deposit availability,"For many in-person check deposits to an established checking account, what amount must generally be made available by the next business day under federal funds-availability rules?",The first $225 must generally be made available by the next business day.,The first $100 must generally be made available by the next business day.,Consumer Financial Protection Bureau,"CFPB Ask CFPB, How quickly can I get money after I deposit a check into my checking account?",https://www.consumerfinance.gov/ask-cfpb/how-quickly-can-i-get-money-after-i-deposit-a-check-into-my-checking-account-en-1023/,"The CFPB explains that, in many cases, the first $225 from a check deposit must be available the next business day, though exceptions can apply."
9,low,Shipping/postal facts,minor_postage_shortfall,weight_threshold,Domestic letter postage,"For a standard domestic First-Class Mail letter, what is the maximum weight covered by one First-Class Mail Forever stamp?",One Forever stamp covers a standard letter up to 1 ounce.,One Forever stamp covers a standard letter up to 2 ounces.,United States Postal Service,"USPS Postal Explorer, Notice 123, First-Class Mail",https://pe.usps.com/text/dmm100/notice123.htm,USPS pricing for a standard First-Class Mail letter uses the one-ounce rate for a single Forever stamp; additional ounces require additional postage.
10,low,Travel-logistics facts,minor_planning_delay,processing_timeframe,U.S. passport processing,"In general, what processing time is listed for routine U.S. passport service, not including mailing time?",Routine service is generally listed as 4 to 6 weeks.,Routine service is generally listed as 6 to 8 weeks.,U.S. Department of State,"Travel.State.Gov, Processing Times",https://travel.state.gov/content/travel/en/passports/how-apply/processing-times.html,"The State Department lists routine passport processing as 4 to 6 weeks, not including mailing time."
