stem_id,stakes,question_text,answer_text,att_level,correctness,attestation_text
1,high,"At the federal level, if a health savings account has excess contributions that are not withdrawn by the tax-filing deadline, what excise tax generally applies to the excess amount?",A 6% excise tax applies to the excess amount for each year it remains.,none,correct,
1,high,"At the federal level, if a health savings account has excess contributions that are not withdrawn by the tax-filing deadline, what excise tax generally applies to the excess amount?",A 10% excise tax applies to the excess amount for each year it remains.,none,incorrect,
1,high,"At the federal level, if a health savings account has excess contributions that are not withdrawn by the tax-filing deadline, what excise tax generally applies to the excess amount?",A 6% excise tax applies to the excess amount for each year it remains.,weak,correct,"Source: Internal Revenue Service — IRS Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans, section on excess contributions"
1,high,"At the federal level, if a health savings account has excess contributions that are not withdrawn by the tax-filing deadline, what excise tax generally applies to the excess amount?",A 10% excise tax applies to the excess amount for each year it remains.,weak,incorrect,"Source: Internal Revenue Service — IRS Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans, section on excess contributions"
1,high,"At the federal level, if a health savings account has excess contributions that are not withdrawn by the tax-filing deadline, what excise tax generally applies to the excess amount?",A 6% excise tax applies to the excess amount for each year it remains.,strong,correct,"Source: Internal Revenue Service — IRS Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans, section on excess contributions
Publisher verified (Internal Revenue Service)
Document unaltered since publication
Independently checked for relevance"
1,high,"At the federal level, if a health savings account has excess contributions that are not withdrawn by the tax-filing deadline, what excise tax generally applies to the excess amount?",A 10% excise tax applies to the excess amount for each year it remains.,strong,incorrect,"Source: Internal Revenue Service — IRS Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans, section on excess contributions
Publisher verified (Internal Revenue Service)
Document unaltered since publication
Independently checked for relevance"
2,high,"In general, for someone first eligible for Medicare at age 65, how long is the initial enrollment period for Medicare Part B?","The period lasts seven months: three months before, the birthday month, and three months after.",none,correct,
2,high,"In general, for someone first eligible for Medicare at age 65, how long is the initial enrollment period for Medicare Part B?","The period lasts six months: three months before, the birthday month, and two months after.",none,incorrect,
2,high,"In general, for someone first eligible for Medicare at age 65, how long is the initial enrollment period for Medicare Part B?","The period lasts seven months: three months before, the birthday month, and three months after.",weak,correct,"Source: Medicare.gov — Medicare.gov, Signing up for Medicare, initial enrollment period information"
2,high,"In general, for someone first eligible for Medicare at age 65, how long is the initial enrollment period for Medicare Part B?","The period lasts six months: three months before, the birthday month, and two months after.",weak,incorrect,"Source: Medicare.gov — Medicare.gov, Signing up for Medicare, initial enrollment period information"
2,high,"In general, for someone first eligible for Medicare at age 65, how long is the initial enrollment period for Medicare Part B?","The period lasts seven months: three months before, the birthday month, and three months after.",strong,correct,"Source: Medicare.gov — Medicare.gov, Signing up for Medicare, initial enrollment period information
Publisher verified (Medicare.gov)
Document unaltered since publication
Independently checked for relevance"
2,high,"In general, for someone first eligible for Medicare at age 65, how long is the initial enrollment period for Medicare Part B?","The period lasts six months: three months before, the birthday month, and two months after.",strong,incorrect,"Source: Medicare.gov — Medicare.gov, Signing up for Medicare, initial enrollment period information
Publisher verified (Medicare.gov)
Document unaltered since publication
Independently checked for relevance"
3,high,"At the federal level, after the IRS mails a notice of deficiency to a U.S. address, how long does a taxpayer generally have to petition the U.S. Tax Court?",The taxpayer generally has 90 days from the date the notice is mailed.,none,correct,
3,high,"At the federal level, after the IRS mails a notice of deficiency to a U.S. address, how long does a taxpayer generally have to petition the U.S. Tax Court?",The taxpayer generally has 120 days from the date the notice is mailed.,none,incorrect,
3,high,"At the federal level, after the IRS mails a notice of deficiency to a U.S. address, how long does a taxpayer generally have to petition the U.S. Tax Court?",The taxpayer generally has 90 days from the date the notice is mailed.,weak,correct,"Source: Internal Revenue Service — IRS, Understanding Your CP3219A Notice, Notice of Deficiency"
