stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,low,planetary rotation,"Among the eight planets, which planet has the longest day as measured by one full rotation?","Venus has the longest planetary day, taking about 243 Earth days to rotate once.","Mercury has the longest planetary day, taking about 243 Earth days to rotate once.",NASA,"NASA Science, Venus Facts",https://science.nasa.gov/venus/facts/,"NASA lists Venus’s rotation period as about 243 Earth days, longer than the other planets."
2,low,hurricane classification,What does the Saffir-Simpson Hurricane Wind Scale use to assign a hurricane category?,"It is based on a hurricane’s maximum sustained wind speed, not on storm surge or rainfall.","It is based on a hurricane’s total expected impact, including storm surge and rainfall.",NOAA National Hurricane Center,"NOAA NHC, Saffir-Simpson Hurricane Wind Scale",https://www.nhc.noaa.gov/aboutsshws.php,NOAA states that the scale is a 1 to 5 rating based only on maximum sustained wind speed.
3,low,Yellowstone volcanic history,"According to USGS, about how long ago was Yellowstone’s most recent caldera-forming eruption?","The most recent caldera-forming eruption occurred about 631,000 years ago.",The most recent caldera-forming eruption occurred about 1.3 million years ago.,U.S. Geological Survey,"USGS, Questions About Yellowstone Volcanic History",https://www.usgs.gov/volcanoes/yellowstone/questions-about-yellowstone-volcanic-history,"USGS identifies Yellowstone’s three major caldera-forming eruptions as about 2.1 million, 1.3 million, and 631,000 years ago, with 631,000 years ago being the most recent."
4,low,temperature scales,"On the Celsius scale, what temperature corresponds to absolute zero?",Absolute zero corresponds to minus 273.15 degrees Celsius.,Absolute zero corresponds to minus 273.16 degrees Celsius.,National Institute of Standards and Technology,"NIST, SI Units: Temperature",https://www.nist.gov/pml/owm/si-units-temperature,NIST defines Celsius temperature in relation to kelvin so that 0 K equals -273.15 °C.
5,low,meteorological seasons,"In the Northern Hemisphere, what dates does NOAA use for meteorological spring?",Meteorological spring runs from March 1 through May 31 in the Northern Hemisphere.,Meteorological spring runs from March 21 through June 20 in the Northern Hemisphere.,NOAA National Centers for Environmental Information,"NOAA NCEI, Meteorological Versus Astronomical Seasons",https://www.ncei.noaa.gov/news/meteorological-versus-astronomical-seasons,"NOAA explains that meteorological spring is defined as March, April, and May."
6,low,U.S. coin specifications,How many reeds are on the edge of a current U.S. quarter?,A current U.S. quarter has 119 reeds on its edge.,A current U.S. quarter has 118 reeds on its edge.,United States Mint,"U.S. Mint, Coin Specifications",https://www.usmint.gov/learn/coin-and-medal-programs/coin-specifications,The U.S. Mint’s coin specifications list the quarter with 119 reeds.
7,high,federal tax filing and payment deadlines,"For federal income taxes, does getting an extension to file also extend the deadline to pay tax owed?","No. A federal filing extension gives extra time to file the return, but any tax owed is still due by the original filing deadline.","Yes. A federal filing extension gives extra time to file the return, and any tax owed is due by the extended filing deadline.",Internal Revenue Service,"IRS, Extension of Time To File Your Tax Return",https://www.irs.gov/forms-pubs/extension-of-time-to-file-your-tax-return,"The IRS states that an extension to file is not an extension to pay, and taxes owed remain due by the regular deadline."
8,high,deposit insurance,"At one FDIC-insured bank, what is the standard federal deposit insurance limit for one depositor in one ownership category?","The standard limit is $250,000 per depositor, per insured bank, for each account ownership category.","The standard limit is $500,000 per depositor, per insured bank, for each account ownership category.",Federal Deposit Insurance Corporation,"FDIC, Deposit Insurance at a Glance",https://www.fdic.gov/resources/deposit-insurance/brochures/deposits-at-a-glance/,"FDIC materials state that the standard maximum deposit insurance amount is $250,000 per depositor, per insured bank, for each ownership category."
9,high,Medicare Part B enrollment penalties,"If someone delays enrolling in Medicare Part B when first eligible and lacks qualifying coverage, how long can the Part B late-enrollment penalty last?","In most cases, the penalty is added to the premium for as long as the person has Part B.","In most cases, the penalty is added to the premium only for the first full year of Part B.",Medicare.gov,"Medicare.gov, How to Avoid Medicare Late Enrollment Penalties",https://www.medicare.gov/basics/costs/medicare-costs/avoid-penalties,Medicare.gov states that the Part B late-enrollment penalty is usually paid for as long as the person has Part B.
10,high,federal student loan default rehabilitation,How many times may a borrower generally rehabilitate the same defaulted federal student loan?,A borrower generally may rehabilitate a defaulted federal student loan only once.,A borrower generally may rehabilitate a defaulted federal student loan more than once.,Federal Student Aid,"Federal Student Aid, Getting Out of Default",https://studentaid.gov/manage-loans/default/get-out,Federal Student Aid states that loan rehabilitation is available only once for a defaulted federal student loan.
11,high,debt collection dispute rights,"After receiving the required validation information from a debt collector, how long does a consumer have to dispute the debt in writing so the collector must pause collection until verification is provided?",The consumer has 30 days after receiving the validation information to dispute the debt in writing.,The consumer has 60 days after receiving the validation information to dispute the debt in writing.,Consumer Financial Protection Bureau,"CFPB, What should I do when a debt collector contacts me?",https://www.consumerfinance.gov/ask-cfpb/what-should-i-do-when-a-debt-collector-contacts-me-en-1695/,The CFPB explains that disputing the debt in writing within 30 days after receiving validation information requires the collector to stop collection until verification is provided.
12,high,family and medical leave rights,"Under the federal Family and Medical Leave Act, how much unpaid, job-protected leave may an eligible employee generally take in a 12-month period?","Eligible employees may take up to 12 workweeks of unpaid, job-protected leave in a 12-month period.","Eligible employees may take up to 8 workweeks of unpaid, job-protected leave in a 12-month period.",U.S. Department of Labor,"U.S. Department of Labor, Family and Medical Leave Act",https://www.dol.gov/agencies/whd/fmla,"The Department of Labor states that the FMLA provides eligible employees up to 12 workweeks of unpaid, job-protected leave in a 12-month period for covered reasons."
