stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,low,timekeeping,"When a positive leap second is added to Coordinated Universal Time, how is the added second normally labeled?",The added second is labeled 23:59:60 before the clock advances to 00:00:00.,The added second is labeled 23:59:59 before the clock advances to 00:00:00.,National Institute of Standards and Technology,"NIST, Leap Seconds",https://www.nist.gov/pml/time-and-frequency-division/time-realization/leap-seconds,NIST describes a positive leap second as an added second shown as 23:59:60 before the next day begins at 00:00:00.
2,low,geography,Where is the geographic center of the United States when all 50 states are included?,"It is near Belle Fourche, South Dakota, when all 50 states are included.","It is near Lebanon, Kansas, when all 50 states are included.",U.S. Geological Survey,"USGS, Where is the geographic center of the United States?",https://www.usgs.gov/faqs/where-geographic-center-united-states,"USGS identifies the geographic center of the 50 states as near Belle Fourche, South Dakota, and distinguishes it from the conterminous U.S. center near Lebanon, Kansas."
3,low,astronomy,"Under the formal astronomical definition, what condition keeps Pluto in the dwarf planet category rather than the planet category?","It meets the roundness condition, but it has not cleared the neighborhood around its orbit.","It meets the orbital-clearing condition, but it has not achieved a nearly round shape.",International Astronomical Union,"IAU, Pluto and the Developing Landscape of Our Solar System",https://www.iau.org/public/themes/pluto/,The IAU definition classifies Pluto as a dwarf planet because it orbits the Sun and is nearly round but has not cleared the neighborhood around its orbit.
4,low,measurement,"In metric measurement, how many square meters are in one hectare?","One hectare is equal to 10,000 square meters.","One hectare is equal to 1,000 square meters.",National Institute of Standards and Technology,"NIST, Guide for the Use of the International System of Units, Chapter 5",https://www.nist.gov/pml/special-publication-811/nist-guide-si-chapter-5-units-outside-si,"NIST lists the hectare as a unit outside the SI that is equal to 10,000 square meters."
5,low,civics,What subject does the Twenty-Seventh Amendment to the U.S. Constitution address?,It delays changes to congressional compensation until after an election for the House of Representatives has occurred.,It delays changes to presidential compensation until after an election for the House of Representatives has occurred.,National Archives,"National Archives, Amendments 11-27",https://www.archives.gov/founding-docs/amendments-11-27,The Twenty-Seventh Amendment states that laws varying compensation for Senators and Representatives do not take effect until an election of Representatives has intervened.
6,low,climate science,"In climate terminology, what ocean condition defines El Niño?",It is unusually warm surface water in the central and eastern tropical Pacific Ocean.,It is unusually cool surface water in the central and eastern tropical Pacific Ocean.,National Oceanic and Atmospheric Administration,"NOAA, El Niño",https://www.noaa.gov/education/resource-collections/weather-atmosphere/el-nino,NOAA describes El Niño as unusually warm ocean temperatures in the central and eastern tropical Pacific.
7,high,federal tax penalties,"At the federal level, what is the general failure-to-file penalty when a taxpayer files a required federal tax return late and tax is unpaid?","The penalty is generally 5% of the unpaid tax for each month or part of a month the return is late, up to 25%.","The penalty is generally 0.5% of the unpaid tax for each month or part of a month the return is late, up to 25%.",Internal Revenue Service,"IRS, Failure to File Penalty",https://www.irs.gov/payments/failure-to-file-penalty,"The IRS states that the failure-to-file penalty is generally 5% of unpaid taxes for each month or part of a month a return is late, capped at 25%."
8,high,COBRA continuation coverage,"At the federal level, how long does a qualified beneficiary generally have to elect COBRA continuation coverage after receiving an election notice or losing coverage, whichever is later?","The qualified beneficiary generally has at least 60 days, measured from the later of the election notice or loss of coverage, to elect COBRA.","The qualified beneficiary generally has at least 30 days, measured from the later of the election notice or loss of coverage, to elect COBRA.",U.S. Department of Labor,"DOL, Continuation of Health Coverage: COBRA",https://www.dol.gov/general/topic/health-plans/cobra,The Department of Labor states that qualified beneficiaries must be given an election period of at least 60 days to choose COBRA continuation coverage.
9,high,tax court petition deadlines,"At the federal level, if a notice of deficiency is addressed to a taxpayer within the United States, how long does the taxpayer generally have to petition the Tax Court?",The taxpayer generally has 90 days from the date the notice of deficiency was mailed to file a Tax Court petition.,The taxpayer generally has 60 days from the date the notice of deficiency was mailed to file a Tax Court petition.,Internal Revenue Service,"IRS, Understanding Your CP3219N Notice",https://www.irs.gov/individuals/understanding-your-cp3219n-notice,The IRS explains that a taxpayer generally has 90 days from the notice date to petition the Tax Court after a notice of deficiency.
10,high,credit billing dispute rights,"At the federal level, how soon must a written credit-card billing-error dispute generally reach the creditor after the first bill containing the error was sent?",The written dispute generally must reach the creditor within 60 days after the first bill containing the error was sent.,The written dispute generally must reach the creditor within 90 days after the first bill containing the error was sent.,Federal Trade Commission,"FTC, Disputing Credit Card Charges",https://consumer.ftc.gov/articles/disputing-credit-card-charges,The FTC states that a billing-error notice must reach the creditor within 60 days after the first bill with the error was sent.
11,high,FMLA eligibility,"At the federal level, what is the general hours-worked requirement for an employee to be eligible for FMLA leave with a covered employer?","The employee generally must have worked at least 1,250 hours during the 12 months before the FMLA leave starts.","The employee generally must have worked at least 1,000 hours during the 12 months before the FMLA leave starts.",U.S. Department of Labor,"DOL Fact Sheet #28, The Family and Medical Leave Act",https://www.dol.gov/agencies/whd/fact-sheets/28-fmla,"The Department of Labor lists 1,250 hours of service during the 12 months before leave as one of the employee eligibility requirements for FMLA leave."
12,high,retirement account required minimum distributions,"At the federal level, for someone born from 1951 through 1959 with a traditional IRA, at what age do required minimum distributions generally have to begin?",Required minimum distributions generally begin for that person at age 73.,Required minimum distributions generally begin for that person at age 72.,Internal Revenue Service,"IRS, Retirement Plan and IRA Required Minimum Distributions FAQs",https://www.irs.gov/retirement-plans/retirement-plan-and-ira-required-minimum-distributions-faqs,The IRS required minimum distribution FAQs state that account owners born in 1951 through 1959 generally use age 73 for the required beginning age.
