response_id,version,trial_position,loop_num,stem_id,stakes,att_level,correctness,trust,reliance,consequence,trust_num,reliance_code,consequence_num,att_code,corr_code,stakes_code
R_5vwaY2ucmX7d6ud,6,1,50,7,low,strong,incorrect,2 Distrust,Verify before taking action or using the information.,4,2,2,4,2,-0.5,-0.5
R_5vwaY2ucmX7d6ud,6,2,51,8,low,none,correct,3 Slightly Distrust,Use the information or take the recommended action (do not double-check).,4,3,3,4,0,0.5,-0.5
R_5vwaY2ucmX7d6ud,6,3,52,9,low,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,3,3,2,3,0,-0.5,-0.5
R_5vwaY2ucmX7d6ud,6,4,53,10,low,weak,correct,3 Slightly Distrust,Verify before taking action or using the information.,3,3,2,3,1,0.5,-0.5
R_5vwaY2ucmX7d6ud,6,5,54,11,low,weak,incorrect,2 Distrust,Reject — do not use the information or take the recommended action.,3,2,1,3,1,-0.5,-0.5
R_5vwaY2ucmX7d6ud,6,6,55,12,low,strong,correct,2 Distrust,Verify before taking action or using the information.,3,2,2,3,2,0.5,-0.5
R_5vwaY2ucmX7d6ud,6,7,56,1,high,strong,incorrect,2 Distrust,Verify before taking action or using the information.,2,2,2,2,2,-0.5,0.5
R_5vwaY2ucmX7d6ud,6,8,57,2,high,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,3,4,2,3,0,0.5,0.5
R_5vwaY2ucmX7d6ud,6,9,58,3,high,none,incorrect,2 Distrust,Verify before taking action or using the information.,2,2,2,2,0,-0.5,0.5
R_5vwaY2ucmX7d6ud,6,10,59,4,high,weak,correct,2 Distrust,Use the information or take the recommended action (do not double-check).,2,2,3,2,1,0.5,0.5
R_5vwaY2ucmX7d6ud,6,11,60,5,high,weak,incorrect,2 Distrust,Verify before taking action or using the information.,3,2,2,3,1,-0.5,0.5
R_5vwaY2ucmX7d6ud,6,12,61,6,high,strong,correct,2 Distrust,Verify before taking action or using the information.,3,2,2,3,2,0.5,0.5
R_BKU6iWUQEn3Hw4x,2,1,2,7,low,none,incorrect,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all),5,3,1,0,-0.5,-0.5
R_BKU6iWUQEn3Hw4x,2,2,3,8,low,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,4,5,2,4,1,0.5,-0.5
R_BKU6iWUQEn3Hw4x,2,3,4,9,low,weak,incorrect,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all),7,3,1,1,-0.5,-0.5
R_BKU6iWUQEn3Hw4x,2,4,5,10,low,strong,correct,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,3,7,3,3,2,0.5,-0.5
R_BKU6iWUQEn3Hw4x,2,5,6,11,low,strong,incorrect,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all),7,3,1,2,-0.5,-0.5
R_BKU6iWUQEn3Hw4x,2,6,7,12,low,none,correct,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all),6,3,1,0,0.5,-0.5
R_BKU6iWUQEn3Hw4x,2,7,8,1,high,none,incorrect,6 Trust,Verify before taking action or using the information.,5 (Extremely serious),6,2,5,0,-0.5,0.5
R_BKU6iWUQEn3Hw4x,2,8,9,2,high,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,3,5,2,3,1,0.5,0.5
R_BKU6iWUQEn3Hw4x,2,9,10,3,high,weak,incorrect,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,2,5,3,2,1,-0.5,0.5
R_BKU6iWUQEn3Hw4x,2,10,11,4,high,strong,correct,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,2,7,3,2,2,0.5,0.5
R_BKU6iWUQEn3Hw4x,2,11,12,5,high,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious),5,2,5,2,-0.5,0.5
