response_id,version,trial_position,loop_num,stem_id,stakes,att_level,correctness,trust,reliance,consequence
R_5vwaY2ucmX7d6ud,6,1,50,7,low,strong,incorrect,2 Distrust,Verify before taking action or using the information.,4
R_5vwaY2ucmX7d6ud,6,2,51,8,low,none,correct,3 Slightly Distrust,Use the information or take the recommended action (do not double-check).,4
R_5vwaY2ucmX7d6ud,6,3,52,9,low,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,3
R_5vwaY2ucmX7d6ud,6,4,53,10,low,weak,correct,3 Slightly Distrust,Verify before taking action or using the information.,3
R_5vwaY2ucmX7d6ud,6,5,54,11,low,weak,incorrect,2 Distrust,Reject — do not use the information or take the recommended action.,3
R_5vwaY2ucmX7d6ud,6,6,55,12,low,strong,correct,2 Distrust,Verify before taking action or using the information.,3
R_5vwaY2ucmX7d6ud,6,7,56,1,high,strong,incorrect,2 Distrust,Verify before taking action or using the information.,2
R_5vwaY2ucmX7d6ud,6,8,57,2,high,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_5vwaY2ucmX7d6ud,6,9,58,3,high,none,incorrect,2 Distrust,Verify before taking action or using the information.,2
R_5vwaY2ucmX7d6ud,6,10,59,4,high,weak,correct,2 Distrust,Use the information or take the recommended action (do not double-check).,2
R_5vwaY2ucmX7d6ud,6,11,60,5,high,weak,incorrect,2 Distrust,Verify before taking action or using the information.,3
R_5vwaY2ucmX7d6ud,6,12,61,6,high,strong,correct,2 Distrust,Verify before taking action or using the information.,3
R_BKU6iWUQEn3Hw4x,2,1,2,7,low,none,incorrect,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_BKU6iWUQEn3Hw4x,2,2,3,8,low,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,4
R_BKU6iWUQEn3Hw4x,2,3,4,9,low,weak,incorrect,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_BKU6iWUQEn3Hw4x,2,4,5,10,low,strong,correct,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,3
R_BKU6iWUQEn3Hw4x,2,5,6,11,low,strong,incorrect,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_BKU6iWUQEn3Hw4x,2,6,7,12,low,none,correct,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_BKU6iWUQEn3Hw4x,2,7,8,1,high,none,incorrect,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_BKU6iWUQEn3Hw4x,2,8,9,2,high,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,3
R_BKU6iWUQEn3Hw4x,2,9,10,3,high,weak,incorrect,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,2
R_BKU6iWUQEn3Hw4x,2,10,11,4,high,strong,correct,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,2
R_BKU6iWUQEn3Hw4x,2,11,12,5,high,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_BKU6iWUQEn3Hw4x,2,12,13,6,high,none,correct,5 Slightly Trust,Verify before taking action or using the information.,4
R_1M63IeTvfmmlaoc,4,1,26,7,low,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,1 (Not serious at all)
R_1M63IeTvfmmlaoc,4,2,27,8,low,strong,correct,5 Slightly Trust,Verify before taking action or using the information.,3
R_1M63IeTvfmmlaoc,4,3,28,9,low,strong,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_1M63IeTvfmmlaoc,4,4,29,10,low,none,correct,3 Slightly Distrust,Reject — do not use the information or take the recommended action.,3
R_1M63IeTvfmmlaoc,4,5,30,11,low,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,1 (Not serious at all)
R_1M63IeTvfmmlaoc,4,6,31,12,low,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,1 (Not serious at all)
R_1M63IeTvfmmlaoc,4,7,32,1,high,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_1M63IeTvfmmlaoc,4,8,33,2,high,strong,correct,5 Slightly Trust,Verify before taking action or using the information.,4
R_1M63IeTvfmmlaoc,4,9,34,3,high,strong,incorrect,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,3
R_1M63IeTvfmmlaoc,4,10,35,4,high,none,correct,2 Distrust,Reject — do not use the information or take the recommended action.,4
R_1M63IeTvfmmlaoc,4,11,36,5,high,none,incorrect,1 Strongly Distrust,Reject — do not use the information or take the recommended action.,4
R_1M63IeTvfmmlaoc,4,12,37,6,high,weak,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_dgwVIHT8mT9TmA9,6,1,50,7,low,strong,incorrect,1 Strongly Distrust,Reject — do not use the information or take the recommended action.,2
R_dgwVIHT8mT9TmA9,6,2,51,8,low,none,correct,2 Distrust,Reject — do not use the information or take the recommended action.,3
R_dgwVIHT8mT9TmA9,6,3,52,9,low,none,incorrect,5 Slightly Trust,Verify before taking action or using the information.,1 (Not serious at all)
R_dgwVIHT8mT9TmA9,6,4,53,10,low,weak,correct,1 Strongly Distrust,Reject — do not use the information or take the recommended action.,3
R_dgwVIHT8mT9TmA9,6,5,54,11,low,weak,incorrect,3 Slightly Distrust,Reject — do not use the information or take the recommended action.,1 (Not serious at all)
R_dgwVIHT8mT9TmA9,6,6,55,12,low,strong,correct,5 Slightly Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_dgwVIHT8mT9TmA9,6,7,56,1,high,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,4
R_dgwVIHT8mT9TmA9,6,8,57,2,high,none,correct,3 Slightly Distrust,Verify before taking action or using the information.,2
R_dgwVIHT8mT9TmA9,6,9,58,3,high,none,incorrect,2 Distrust,Reject — do not use the information or take the recommended action.,1 (Not serious at all)
R_dgwVIHT8mT9TmA9,6,10,59,4,high,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,3
R_dgwVIHT8mT9TmA9,6,11,60,5,high,weak,incorrect,5 Slightly Trust,Verify before taking action or using the information.,3
R_dgwVIHT8mT9TmA9,6,12,61,6,high,strong,correct,5 Slightly Trust,Verify before taking action or using the information.,3
R_27pntzNjfmVtB5N,2,1,2,7,low,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,3
R_27pntzNjfmVtB5N,2,2,3,8,low,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,4
R_27pntzNjfmVtB5N,2,3,4,9,low,weak,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,3
R_27pntzNjfmVtB5N,2,4,5,10,low,strong,correct,6 Trust,Use the information or take the recommended action (do not double-check).,5 (Extremely serious)
R_27pntzNjfmVtB5N,2,5,6,11,low,strong,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_27pntzNjfmVtB5N,2,6,7,12,low,none,correct,6 Trust,Verify before taking action or using the information.,2
R_27pntzNjfmVtB5N,2,7,8,1,high,none,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,4
R_27pntzNjfmVtB5N,2,8,9,2,high,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_27pntzNjfmVtB5N,2,9,10,3,high,weak,incorrect,3 Slightly Distrust,Verify before taking action or using the information.,5 (Extremely serious)
R_27pntzNjfmVtB5N,2,10,11,4,high,strong,correct,6 Trust,Verify before taking action or using the information.,3
R_27pntzNjfmVtB5N,2,11,12,5,high,strong,incorrect,5 Slightly Trust,Verify before taking action or using the information.,4
R_27pntzNjfmVtB5N,2,12,13,6,high,none,correct,5 Slightly Trust,Verify before taking action or using the information.,4
R_vVy04kq4yDTYM2B,3,1,14,7,low,weak,correct,5 Slightly Trust,Verify before taking action or using the information.,2
R_vVy04kq4yDTYM2B,3,2,15,8,low,weak,incorrect,4 Neither trust nor distrust,Verify before taking action or using the information.,4
R_vVy04kq4yDTYM2B,3,3,16,9,low,strong,correct,7 Strongly Trust,Use the information or take the recommended action (do not double-check).,3
R_vVy04kq4yDTYM2B,3,4,17,10,low,strong,incorrect,6 Trust,Verify before taking action or using the information.,4
R_vVy04kq4yDTYM2B,3,5,18,11,low,none,correct,6 Trust,Use the information or take the recommended action (do not double-check).,1 (Not serious at all)
R_vVy04kq4yDTYM2B,3,6,19,12,low,none,incorrect,6 Trust,Use the information or take the recommended action (do not double-check).,2
R_vVy04kq4yDTYM2B,3,7,20,1,high,weak,correct,6 Trust,Verify before taking action or using the information.,5 (Extremely serious)
R_vVy04kq4yDTYM2B,3,8,21,2,high,weak,incorrect,6 Trust,Verify before taking action or using the information.,4
R_vVy04kq4yDTYM2B,3,9,22,3,high,strong,correct,6 Trust,Use the information or take the recommended action (do not double-check).,3
R_vVy04kq4yDTYM2B,3,10,23,4,high,strong,incorrect,6 Trust,Verify before taking action or using the information.,3
R_vVy04kq4yDTYM2B,3,11,24,5,high,none,correct,4 Neither trust nor distrust,Verify before taking action or using the information.,3
R_vVy04kq4yDTYM2B,3,12,25,6,high,none,incorrect,6 Trust,Verify before taking action or using the information.,4
