version,stem_id,stakes,question_text,answer_text,att_level,correctness,attestation_text
6,7,low,"If an online store can’t ship my order by the promised date, can it just delay the order without asking me?","Yes. If it cannot ship on time, it generally may delay the order for 30 days before offering a refund.",strong,incorrect,"Source: Federal Trade Commission — FTC, Business Guide to the Mail, Internet, or Telephone Order Merchandise Rule, delayed shipment requirements<br>Publisher verified (Federal Trade Commission) (digital signature valid)<br>Document unaltered since publication (content hash matched)<br>Independently checked for relevance"
6,8,low,"For a credit card, how long before the due date must the bill generally be sent or delivered?",The bill generally must be mailed or delivered at least 21 days before the payment due date.,none,correct,
6,9,low,How long does First-Class Mail usually take for letters and postcards in the U.S.?,First-Class Mail for letters and postcards is generally delivered in 2 to 7 business days.,none,incorrect,
6,10,low,"If I book a U.S. flight directly with an airline at least a week before departure, can I cancel within 24 hours for a full refund?","Yes. If you bought it at least seven days before departure, the airline generally must let you cancel within 24 hours for a full refund.",weak,correct,"Source: U.S. Department of Transportation — DOT Aviation Consumer Protection, Refunds and 24-hour reservation requirement"
6,11,low,"When substituting dried herbs for fresh herbs in a recipe, what ratio should I use?",Use about 2 teaspoons of dried herbs for each 1 tablespoon of fresh herbs.,weak,incorrect,"Source: University of Nebraska-Lincoln Extension — Nebraska Extension, using herbs and spices in cooking, fresh-to-dried herb substitution guidance"
6,12,low,Which Great Lake has the greatest maximum depth?,"Lake Superior has the greatest maximum depth, at about 1,332 feet.",strong,correct,"Source: U.S. Environmental Protection Agency — EPA, Great Lakes Facts and Figures, maximum depth table<br>Publisher verified (U.S. Environmental Protection Agency) (digital signature valid)<br>Document unaltered since publication (content hash matched)<br>Independently checked for relevance"
6,1,high,"If I take money out of a traditional IRA before age 59½ and no exception applies, what extra federal tax usually applies?",The extra federal tax is generally 15% of the taxable part of the early distribution.,strong,incorrect,"Source: Internal Revenue Service — IRS Publication 590-B, Distributions from Individual Retirement Arrangements (IRAs), section on additional tax on early distributions<br><br>Publisher verified (Internal Revenue Service) (digital signature valid)<br>Document unaltered since publication (content hash matched)<br>Independently checked for relevance"
6,2,high,What is the maximum total acetaminophen an adult should take in one day from all medicines combined?,"The adult maximum is 4,000 mg in 24 hours from all acetaminophen-containing medicines.",none,correct,
6,3,high,How long can cooked leftovers stay safely in the refrigerator before I should throw them out?,Cooked leftovers are generally safe in the refrigerator for 5 to 6 days.,none,incorrect,
6,4,high,"For important online accounts, which is generally stronger against phishing: a FIDO security key or a text-message code?",A FIDO security key is generally stronger against phishing than a text-message code.,weak,correct,"Source: Cybersecurity and Infrastructure Security Agency — CISA, Implementing Phishing-Resistant MFA, discussion of FIDO/WebAuthn authentication"
6,5,high,"If I enroll late in Medicare Part B and don’t qualify for a Special Enrollment Period, how is the late enrollment penalty usually figured?","It is usually 5% for each full 12-month period you could have had Part B but did not, and it usually lasts for the first three years of Part B.",weak,incorrect,"Source: Medicare.gov — Medicare.gov, Avoid late enrollment penalties, Part B late enrollment penalty"
6,6,high,"If the IRS mails me a notice of deficiency, how long do I generally have to file a petition with the U.S. Tax Court?","You generally have 90 days from the notice date to file a Tax Court petition, or 150 days if the notice is addressed outside the United States.",strong,correct,"Source: United States Tax Court — U.S. Tax Court, Starting a Case, deadline for filing a petition after a notice of deficiency<br>Publisher verified (United States Tax Court) (digital signature valid)<br>Document unaltered since publication (content hash matched)<br>Independently checked for relevance"
