version,stem_id,stakes,question_text,answer_text,att_level,correctness,attestation_text
5,7,low,"If an online store can’t ship my order by the promised date, can it just delay the order without asking me?","No. If it cannot ship on time, it generally must get your consent to the delay or promptly refund your money.",strong,correct,"Source: Federal Trade Commission — FTC, Business Guide to the Mail, Internet, or Telephone Order Merchandise Rule, delayed shipment requirements<br>Publisher verified (Federal Trade Commission) (digital signature valid)<br>Document unaltered since publication (content hash matched)<br>Independently checked for relevance"
5,8,low,"For a credit card, how long before the due date must the bill generally be sent or delivered?",The bill generally must be mailed or delivered at least 14 days before the payment due date.,strong,incorrect,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, How long before my credit card payment due date does the card issuer have to mail or deliver my bill?<br>Publisher verified (Consumer Financial Protection Bureau) (digital signature valid)<br>Document unaltered since publication (content hash matched)<br>Independently checked for relevance"
5,9,low,How long does First-Class Mail usually take for letters and postcards in the U.S.?,First-Class Mail for letters and postcards is generally delivered in 1 to 5 business days.,none,correct,
5,10,low,"If I book a U.S. flight directly with an airline at least a week before departure, can I cancel within 24 hours for a full refund?","No. For a full refund, you generally must have bought it at least fourteen days before departure and cancel within 12 hours.",none,incorrect,
5,11,low,"When substituting dried herbs for fresh herbs in a recipe, what ratio should I use?",Use about 1 teaspoon of dried herbs for each 1 tablespoon of fresh herbs.,weak,correct,"Source: University of Nebraska-Lincoln Extension — Nebraska Extension, using herbs and spices in cooking, fresh-to-dried herb substitution guidance"
5,12,low,Which Great Lake has the greatest maximum depth?,"Lake Michigan has the greatest maximum depth, at about 1,332 feet.",weak,incorrect,"Source: U.S. Environmental Protection Agency — EPA, Great Lakes Facts and Figures, maximum depth table"
5,1,high,"If I take money out of a traditional IRA before age 59½ and no exception applies, what extra federal tax usually applies?",The extra federal tax is generally 10% of the taxable part of the early distribution.,strong,correct,"Source: Internal Revenue Service — IRS Publication 590-B, Distributions from Individual Retirement Arrangements (IRAs), section on additional tax on early distributions<br><br>Publisher verified (Internal Revenue Service) (digital signature valid)<br>Document unaltered since publication (content hash matched)<br>Independently checked for relevance"
5,2,high,What is the maximum total acetaminophen an adult should take in one day from all medicines combined?,"The adult maximum is 5,000 mg in 24 hours from all acetaminophen-containing medicines.",strong,incorrect,"Source: U.S. Food and Drug Administration — FDA, Acetaminophen Information, consumer safety information on maximum daily dose<br>Publisher verified (U.S. Food and Drug Administration) (digital signature valid)<br>Document unaltered since publication (content hash matched)<br>Independently checked for relevance"
5,3,high,How long can cooked leftovers stay safely in the refrigerator before I should throw them out?,Cooked leftovers are generally safe in the refrigerator for 3 to 4 days.,none,correct,
5,4,high,"For important online accounts, which is generally stronger against phishing: a FIDO security key or a text-message code?",A text-message code is generally stronger against phishing than a FIDO security key.,none,incorrect,
5,5,high,"If I enroll late in Medicare Part B and don’t qualify for a Special Enrollment Period, how is the late enrollment penalty usually figured?","It is usually 10% for each full 12-month period you could have had Part B but did not, and it usually lasts as long as you have Part B.",weak,correct,"Source: Medicare.gov — Medicare.gov, Avoid late enrollment penalties, Part B late enrollment penalty"
5,6,high,"If the IRS mails me a notice of deficiency, how long do I generally have to file a petition with the U.S. Tax Court?","You generally have 120 days from the notice date to file a Tax Court petition, or 180 days if the notice is addressed outside the United States.",weak,incorrect,"Source: United States Tax Court — U.S. Tax Court, Starting a Case, deadline for filing a petition after a notice of deficiency"
