stem_id,stakes,category,consequence_type,fact_structure,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,high,"Financial penalty/loss — tax penalties, excise taxes, lost deposits",federal tax penalty,threshold/amount,traditional IRA early distributions,"At the federal level, if an adult takes a nonqualified distribution from a traditional IRA before age 59½, what additional tax generally applies?","The distribution is generally subject to a 10% additional tax, in addition to regular income tax.","The distribution is generally subject to a 5% additional tax, in addition to regular income tax.",Internal Revenue Service,"IRS Tax Topic No. 557, Additional Tax on Early Distributions from Traditional and Roth IRAs",https://www.irs.gov/taxtopics/tc557,The IRS states that early IRA distributions before age 59½ are generally subject to a 10% additional tax unless an exception applies.
2,high,"Benefit/coverage forfeiture — Medicare, COBRA, marketplace/Part D enrollment, missed windows",coverage delay or late-enrollment penalty,deadline/window,Medicare Part B initial enrollment,"For someone first eligible for Medicare at 65 and not automatically enrolled, how long is the initial enrollment period for Part B?","It is a seven-month period that starts three months before the month they turn 65, includes that month, and ends three months after.","It is a six-month period that starts two months before the month they turn 65, includes that month, and ends three months after.",Medicare.gov,"Medicare.gov, When can I sign up for Medicare?",https://www.medicare.gov/basics/get-started-with-medicare/sign-up/when-can-i-sign-up-for-medicare,"Medicare describes the initial enrollment period as seven months: three months before the month a person turns 65, that month, and three months after."
3,high,"Consumer-protection deadlines — fraud-reporting windows, dispute/rescission rights",increased liability for unauthorized transfers,deadline-linked liability cap,lost or stolen debit card reporting,"Under federal electronic fund transfer rules, if a debit card is lost or stolen, what is the general maximum loss if it is reported within two business days after learning of the loss?",Their loss is generally limited to no more than $50.,Their loss is generally limited to no more than $500.,Consumer Financial Protection Bureau,"CFPB Ask CFPB, What should I do if my ATM or debit card is lost or stolen?",https://www.consumerfinance.gov/ask-cfpb/what-should-i-do-if-my-atm-or-debit-card-is-lost-or-stolen-en-1029/,The CFPB explains that reporting a lost or stolen debit card within two business days generally limits losses to $50.
4,high,"Legal-right or claim forfeiture — statute of limitations, appeal deadlines, contest/petition windows",loss of right to petition before paying assessed tax,deadline,Tax Court petition deadline,"At the federal level, how many days does a taxpayer generally have to file a Tax Court petition after the IRS sends a notice of deficiency addressed within the United States?",They generally have 90 days from the notice date to file the petition.,They generally have 60 days from the notice date to file the petition.,United States Tax Court,"United States Tax Court, Starting a Case",https://www.ustaxcourt.gov/petitioners_start.html,"The U.S. Tax Court states that a deficiency petition generally must be filed within 90 days after the notice is mailed, or 150 days if addressed outside the United States."
5,high,Food safety,foodborne illness risk,safety threshold,reheating leftovers,"When reheating leftovers, what internal temperature should they reach before eating?","Leftovers should be reheated to 165°F, as measured with a food thermometer.","Leftovers should be reheated to 145°F, as measured with a food thermometer.",USDA Food Safety and Inspection Service,"USDA FSIS, Leftovers and Food Safety",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/leftovers-and-food-safety,USDA FSIS instructs consumers to reheat leftovers to 165°F and verify the temperature with a food thermometer.
6,high,Cybersecurity,identity theft or tax fraud exposure,authentication rule,IRS contact methods,"At the federal level, how does the IRS generally first initiate contact with taxpayers about a tax issue?",The IRS generally first contacts taxpayers by regular mail delivered by the U.S. Postal Service.,The IRS generally first contacts taxpayers by secure email delivered through an official portal.,Internal Revenue Service,"IRS, How to know it’s really the IRS calling or knocking on your door",https://www.irs.gov/newsroom/how-to-know-its-really-the-irs-calling-or-knocking-on-your-door,"The IRS says it generally first contacts taxpayers by regular mail and does not initiate contact by email, text, or social media to request personal or financial information."
7,low,"Consumer/retail facts — standard return windows, restocking-fee norms, warranty basics, receipt requirements. Wrong → lose a small refund or pay a minor fee.",loss of a small cancellation refund,threshold/entitlement,federal cooling-off rule for home sales,"For a qualifying sale made at a buyer’s home in the United States, what minimum purchase amount generally triggers the federal three-day cancellation right?",The federal rule generally applies to qualifying sales of $25 or more made at the buyer's home.,The federal rule generally applies to qualifying sales of $50 or more made at the buyer's home.,Federal Trade Commission,"FTC Consumer Advice, Buyer’s Remorse: The FTC’s Cooling-Off Rule May Help",https://consumer.ftc.gov/articles/buyers-remorse-ftcs-cooling-rule-may-help,"The FTC explains that the Cooling-Off Rule generally covers qualifying sales of $25 or more made at a buyer’s home, with different thresholds for certain temporary locations."
8,low,"Everyday financial-convenience facts — how long a check hold typically lasts, standard grace periods on routine bills, ATM/foreign-transaction fee norms. Wrong → small fee or minor delay.",minor delay in access to deposited funds,availability amount,check deposit funds availability,"For a check deposited into a checking account at a bank, what portion is generally available by the next business day under federal availability rules?",At least the first $225 is generally available by the next business day after the banking day of deposit.,At least the first $100 is generally available by the next business day after the banking day of deposit.,Consumer Financial Protection Bureau,"CFPB Ask CFPB, How quickly can I get money after I deposit a check into my checking account?",https://www.consumerfinance.gov/ask-cfpb/how-quickly-can-i-get-money-after-i-deposit-a-check-into-my-checking-account-what-is-a-deposit-hold-en-1023/,"The CFPB states that, for many check deposits, at least the first $225 must generally be made available by the next business day after the banking day of deposit."
9,low,"Shipping/postal facts — standard delivery timeframes, what postage a standard item needs, package-insurance basics. Wrong → minor delay or a few dollars.",minor postage cost or mailing delay,weight threshold,First-Class Mail letter weight,"For a standard First-Class Mail letter in the United States, what is the maximum weight before a different mail category or extra handling may apply?",It can weigh up to 3.5 ounces before a different mail category or extra handling may apply.,It can weigh up to 4.0 ounces before a different mail category or extra handling may apply.,United States Postal Service,"USPS, Send Mail: Step-by-Step Instructions",https://www.usps.com/ship/letters.htm,USPS lists 3.5 ounces as the maximum weight for a standard First-Class Mail letter.
10,low,"Travel-logistics facts — typical check-in/baggage cutoffs, standard cancellation windows for routine bookings, passport-processing timeframes (not requirements). Wrong → minor inconvenience or rebooking hassle.",minor travel delay or rebooking hassle,recommended timing,airport arrival time for domestic flights,"For a domestic flight in the United States, how early before departure is a traveler generally advised to arrive at the airport?","For a domestic flight, arriving about two hours before departure is generally recommended.","For a domestic flight, arriving about one hour before departure is generally recommended.",Transportation Security Administration,"TSA, Travel Tips",https://www.tsa.gov/travel/travel-tips,TSA travel guidance generally advises travelers to arrive two hours before domestic flights and three hours before international flights.
